"Method","Path","Status","FolderStatus","CoveredBy","OperationId","Tags","SuggestedFolder","ActualFolders","FolderMismatch","Covered","Skipped","Deprecated","SkipReason","Description","Parameters"
"DELETE","/notifications","Missing","N/A","","deleteNotifications","Notifications","Notification","","False","False","False","False",,"This endpoint requires the `notification.delete` permission.",""
"GET","/notifications","Missing","N/A","","getNotifications","Notifications","Notification","","False","False","False","False",,"This endpoint requires the `notification.read` permission.",""
"PUT","/notifications","Missing","N/A","","updateNotifications","Notifications","Notification","","False","False","False","False",,"This endpoint requires the `notification.update` permission.",""
"DELETE","/notifications/{id}","Missing","N/A","","deleteNotification","Notifications","Notification","","False","False","False","False",,"This endpoint requires the `notification.delete` permission.",""
"GET","/notifications/{id}","Missing","N/A","","getNotification","Notifications","Notification","","False","False","False","False",,"This endpoint requires the `notification.read` permission.",""
"PUT","/notifications/{id}","Missing","N/A","","updateNotification","Notifications","Notification","","False","False","False","False",,"This endpoint requires the `notification.update` permission.",""
"POST","/oauth/authorize","Skipped","N/A","","startOAuth","OAuth","Auth","","False","False","True","False","OIDC web flow - not for interactive use",,""
"POST","/oauth/callback","Skipped","N/A","","finishOAuth","OAuth","Auth","","False","False","True","False","OIDC web flow - not for interactive use",,""
"POST","/oauth/link","Skipped","N/A","","linkOAuthAccount","OAuth","Auth","","False","False","True","False","OIDC web flow - not for interactive use",,""
"GET","/oauth/mobile-redirect","Skipped","N/A","","redirectOAuthToMobile","OAuth","Auth","","False","False","True","False","Mobile app specific",,""
"POST","/oauth/unlink","Skipped","N/A","","unlinkOAuthAccount","OAuth","Auth","","False","False","True","False","OIDC web flow - not for interactive use",,""
"GET","/partners","Covered","OK","Get-IMPartner","getPartners","Partners","Partner","Partner","False","True","False","False",,"This endpoint requires the `partner.read` permission.",""
"POST","/partners","Missing","N/A","","createPartner","Partners","Partner","","False","False","False","False",,"This endpoint requires the `partner.create` permission.",""
"DELETE","/partners/{id}","Covered","OK","Remove-IMPartner","removePartner","Partners","Partner","Partner","False","True","False","False",,"This endpoint requires the `partner.delete` permission.",""
"POST","/partners/{id}","Deprecated","OK","Add-IMPartner","createPartnerDeprecated","Partners, Deprecated","Partner","Partner","False","True","False","True",,"This property was deprecated in v1.141.0. This endpoint requires the `partner.create` permission.",""
"PUT","/partners/{id}","Covered","OK","Set-IMPartner","updatePartner","Partners","Partner","Partner","False","True","False","False",,"This endpoint requires the `partner.update` permission.",""
"DELETE","/people","Missing","N/A","","deletePeople","People","Person","","False","False","False","False",,"This endpoint requires the `person.delete` permission.",""
"GET","/people","Covered","OK","Get-IMPerson","getAllPeople","People","Person","Person","False","True","False","False",,"This endpoint requires the `person.read` permission.",""
